id,type,area,title,arc_ref,code_module,verify_method,status,release_gated
FR-CALIB-007,FR,CALIB,"Config-driven single-camera intrinsics calibration: a YAML calib_config.yml (board type/geometry, camera model, bundle-adjustment tuning) drives ds-msp-calibrate, a real console command shipping with `pip install ds-msp` alone (no repo clone), mirroring ds-msp-calibrate-rig's --init-config/--set pattern. Plain yaml.safe_load (no cv2.FileStorage quirks to work around, unlike ds_msp.rig.calib_param -- this config has no legacy MC-Calib format to stay byte-compatible with)",ARC-CALIB,ds_msp/calib/config.py;ds_msp/calib/cli.py,tests/calib/test_config.py;tests/calib/test_cli.py,implemented,no
FR-CALIB-008,FR,CALIB,"Report calibration progress live (a Stage banner; per-image detection progress via Board.detect()'s progress_cb) and a full reprojection-error distribution (mean/median/p95/max/rms) with a PASS/WARN/FAIL verdict instead of one bare RMS number, mirroring ds_msp.rig.report's FR-RIG-006 (independent module -- ds_msp.calib may not import ds_msp.rig). Load a calibration's output straight back into a ready CameraModel instance via ds_msp.calib.load_camera",ARC-CALIB,ds_msp/calib/report.py;ds_msp/calib/board.py;ds_msp/calib/__init__.py,tests/calib/test_report.py;tests/calib/test_board.py;tests/io/test_kalibr.py,implemented,no
FR-RIG-001,FR,RIG,Calibrate a multi-camera rig (intrinsics + extrinsics + object poses) — ships in the wheel after its real-data validation gate (real 8-camera rig + MC-Calib Blender datasets at ~0.16%-of-ground-truth extrinsics),ARC-RIG,ds_msp/rig,tests/rig/test_rig_end2end.py,implemented,yes
FR-RIG-002,FR,RIG,Drive a full rig calibration from a single MC-Calib-compatible calib_param.yml (detect -> reconstruct -> bundle-adjust -> MC-Calib output),ARC-RIG,ds_msp/rig/calib_param.py,tests/rig/test_calib_param.py,implemented,no
FR-RIG-003,FR,RIG,Handle per-camera initial intrinsics — load / validate config model matches provided model / hold fixed when requested / else convert()+warn into the chosen model or init from scratch,ARC-RIG,ds_msp/rig/calib_param.py,tests/rig/test_calib_param.py,implemented,no
FR-RIG-004,FR,RIG,Detect ChArUco corners once and reuse them across runs (save and reload detected_keypoints_data.yml without re-detecting),ARC-RIG,ds_msp/rig/calib_param.py,tests/rig/test_calib_param.py,implemented,no
FR-RIG-005,FR,RIG,Accept MC-Calib calib_param.yml and intrinsics files as drop-in input and emit MC-Calib-format output with a per-camera camera_models extension,ARC-RIG,ds_msp/rig/calib_param.py,tests/rig/test_calib_param.py,implemented,no
FR-MVG-001,FR,MVG,Recover two-view relative pose and triangulate on bearing vectors,ARC-MVG,ds_msp/mvg/two_view.py,tests/mvg/test_two_view.py,implemented,no
FR-MVG-002,FR,MVG,Robust two-view pose via RANSAC on Sampson residual,ARC-MVG,ds_msp/mvg/ransac.py,tests/mvg/test_ransac.py,implemented,no
FR-MVG-003,FR,MVG,Refine two-view pose with full-sphere chordal bundle adjustment,ARC-MVG,ds_msp/geometry/bearing.py;ds_msp/mvg/bundle.py,tests/geometry/test_bearing.py;tests/mvg/test_bundle.py,implemented,no
FR-STEREO-001,FR,STEREO,Compute fisheye stereo depth via sphere sweep,ARC-STEREO,ds_msp/stereo/sphere_sweep.py,tests/stereo/test_sphere_sweep.py,implemented,no
FR-STEREO-002,FR,STEREO,Spherical epipolar rectification of a stereo pair,ARC-STEREO,ds_msp/stereo/rectify.py,tests/stereo/test_rectify.py,implemented,no
FR-OPS-001,FR,OPS,Undistort fisheye images and keypoints to a pinhole frame,ARC-OPS,ds_msp/ops/undistort.py,tests/ops/test_ops_polymorphic.py,implemented,no
FR-OPS-002,FR,OPS,Reproject images across charts (sphere/cylinder/pinhole/cubemap/tangent),ARC-OPS,ds_msp/ops/reproject.py,tests/ops/test_reproject.py,implemented,no
FR-OPS-003,FR,OPS,"Solve clean and robust PnP on full-sphere bearing rays for any central model: deterministic GNC-TLS with a model-derived local pixel metric is the recommended robust estimator, with classic RANSAC retained as a guarded compatibility path (ADR-0021)",ARC-OPS,ds_msp/ops/pose.py;ds_msp/geometry/resection.py;ds_msp/geometry/bearing.py,tests/ops/test_ops_polymorphic.py;tests/ops/test_pose_gnc.py;tests/ops/test_pose_bearing_refine.py,implemented,no
FR-ADAPT-001,FR,ADAPT,Convert calibrated parameters between any two models without images,ARC-ADAPT,ds_msp/adapt/convert.py,tests/adapt/test_convert.py,implemented,no
FR-ADAPT-002,FR,ADAPT,Automatically select the best-fitting model,ARC-ADAPT,ds_msp/adapt/autoselect.py,tests/adapt/test_autoselect.py,implemented,no
FR-IO-001,FR,IO,Read and write Kalibr camchain YAML,ARC-IO,ds_msp/io/kalibr.py,tests/io/test_kalibr.py,implemented,no
FR-IO-002,FR,IO,Export and read COLMAP reconstruction files,ARC-IO,ds_msp/io/colmap.py,tests/io/test_colmap.py,implemented,no
FR-IO-003,FR,IO,Export nerfstudio transforms.json,ARC-IO,ds_msp/io/nerfstudio.py,tests/io/test_nerfstudio.py,implemented,no
FR-IO-004,FR,IO,Read and write MC-Calib interchange format,ARC-IO,ds_msp/io/mccalib.py,tests/io/test_mccalib_io.py,implemented,no
FR-VO-001,FR,VO,Estimate a monocular camera trajectory from a fisheye stream,ARC-VO,ds_msp/vo/odometry.py,tests/vo/test_odometry.py,implemented,no
FR-VO-002,FR,VO,Evaluate trajectories with Sim(3) alignment and ATE/RPE,ARC-VO,ds_msp/vo/metrics.py,tests/vo/test_metrics.py,implemented,no
FR-INTEROP-001,FR,INTEROP,Provide an OpenCV-compatible drop-in API,ARC-INTEROP,ds_msp/cv.py,tests/test_ds_camera_cv.py,implemented,no
FR-INTEROP-002,FR,INTEROP,Generate TI Jacinto LDC distortion-correction mesh,ARC-INTEROP,ds_msp/ldc.py,tests/test_robustness_and_ldc.py,implemented,no
NFR-NUM-001,NFR,NUM,Analytic Jacobians match finite differences to <=1e-6 relative error,ARC-MODELS,ds_msp/models,tests/contract/test_gradcheck.py,implemented,no
NFR-NUM-002,NFR,NUM,KB and RadTan models match OpenCV to ~1e-13,ARC-MODELS,ds_msp/models,tests/test_ds_camera_cv.py,implemented,no
NFR-NUM-003,NFR,NUM,Undistort/reproject round-trip error stays sub-pixel,ARC-OPS,ds_msp/ops/reproject.py,tests/ops/test_reproject.py,implemented,no
NFR-NUM-004,NFR,NUM,Calibration recovers published reference intrinsics within tolerance on real fisheye data,ARC-CALIB,ds_msp/calib/bundle.py,tests/realdata/test_mccalib_calibration.py,implemented,yes
NFR-NUM-005,NFR,NUM,Double Sphere handles >180 deg FOV with correct half-space validity,ARC-MODELS,ds_msp/models/double_sphere.py,tests/models/test_ds_model.py,implemented,no
NFR-NUM-006,NFR,NUM,"Calibration mean and p95 reprojection are robust to planar pose flips and outliers from a poor init; after deterministic GNC-TLS per-view initialization, the rig front-end preserves corrective influence so an initially flipped whole view cannot be silently abandoned by a redescending loss",ARC-CALIB,ds_msp/calib/bundle.py;ds_msp/rig/calibrate.py,tests/calib/test_robust_calibrate.py;tests/rig/test_model_agnostic.py;tests/rig/test_param_pose.py;tests/rig/test_outlier_robustness.py,implemented,no
NFR-NUM-007,NFR,NUM,Model conversion is deterministic and self-conversion is exact (global optimum independent of random restarts),ARC-ADAPT,ds_msp/adapt/convert.py,tests/adapt/test_convert_robustness.py,implemented,no
NFR-ARCH-001,NFR,ARCH,Architecture is strictly layered and acyclic,ARC-CORE,ds_msp,tests/contract/test_independence.py,implemented,no
NFR-ARCH-002,NFR,ARCH,Math foundation (core/data/geometry/models) is cv2/scipy-free,ARC-CORE,ds_msp,tests/contract/test_independence.py::test_math_foundation_is_cv2_and_scipy_free,implemented,no
NFR-ARCH-003,NFR,ARCH,Every camera model satisfies the CameraModel contract,ARC-CORE,ds_msp/core/contracts.py,tests/contract/test_camera_model_contract.py,implemented,no
NFR-PORT-001,NFR,PORT,Library runs on Python 3.10 3.11 and 3.12,ARC-CORE,ds_msp,.github/workflows/ci.yml,implemented,no
NFR-REPRO-001,NFR,REPRO,Tests and validations are deterministic via fixed seeds,ARC-CORE,tests,tests/contract/test_gradcheck.py,implemented,no
NFR-PRIV-001,NFR,PRIV,No internal R&D / AI-process content reaches tracked files,ARC-CORE,.,tools/check_tree_hygiene.py,implemented,no
FR-CORE-001,FR,CORE,High-breakdown GNC-TLS robust optimization with an explicit noise bound (median-free; recovers past MAD's 50% breakdown),ARC-CORE,ds_msp/core/optimize.py,tests/core/test_gnc_tls.py;tests/core/test_gnc_tls_final_weights.py,implemented,no
FR-RIG-006,FR,RIG,Report calibration progress live (per-stage banners; per-image detection progress) and a full reprojection-error distribution (mean/median/p95/max/rms/inlier-fraction) with a PASS/WARN/FAIL verdict instead of one max-RMS number,ARC-RIG,ds_msp/rig/report.py,tests/rig/test_report.py,implemented,no
FR-RIG-007,FR,RIG,"Generate a self-contained interactive HTML ""digital twin"" report of the calibrated rig (camera frustums at their extrinsics; board points animated through the solved frame poses, colored by reprojection error; orbit/zoom controls) with no external dependencies",ARC-RIG,ds_msp/rig/report.py,tests/rig/test_report.py,implemented,no
FR-RIG-008,FR,RIG,"Render a live terminal 3D animation of the real rig geometry (camera frustums, board points colored by actual current reprojection error) during bundle adjustment, auto-orbiting via Unicode-braille sub-character rendering, instead of going silent between stage banners",ARC-RIG,ds_msp/rig/report.py,tests/rig/test_report.py,implemented,no
FR-RIG-009,FR,RIG,"Render a live cinematic 3D animation of the real rig geometry in a browser (Three.js, served locally, no static-file output) during bundle adjustment as the default live view: cameras as stylized bots at their actual solved pose/orientation glowing by actual current reprojection error, choreographed acts matching the 4 hierarchical-BA stages with title cards, a live per-camera leaderboard, an RMS sparkline, and a finale with final per-camera stats -- replacing the terminal braille view as the default",ARC-RIG,ds_msp/rig/web3d.py,tests/rig/test_web3d.py,implemented,no
FR-RIG-010,FR,RIG,"The live web view launches (server + browser tab) at construction time, before corner detection or per-camera front-end intrinsics have run, and streams real progress through every phase of a config-driven run instead of leaving the browser blank -- live per-camera corner-detection counts during detection, a dedicated stage label through the front-end's per-camera intrinsic fit (no per-iteration callback of its own), the existing BA-stage acts, and live progress through the (now-parallelised) MC-Calib debug-image writers after convergence",ARC-RIG,ds_msp/rig/web3d.py,tests/rig/test_web3d.py,implemented,no
NFR-PERF-001,NFR,PERF,"Single-camera front-end multi-start seed dispersion runs for every model (no model-class shortcut); a per-model skip was measured unsafe at scale (56/100 RadTan cameras degraded, 0 improved, on thinner synthetic data) and was reverted 2026-07-02. Also covers the same-root-cause cascading seed sensitivity found in ds_msp.rig's own _robust_pinhole pre-seed (a skipped restart there flipped a 16-camera rig's DS fit between the UCM-collapse basin and a genuine xi solution)",ARC-CALIB,ds_msp/calib/bundle.py;ds_msp/rig/calibrate.py;ds_msp/rig/pose_init.py,tests/calib/test_robust_calibrate.py;tests/rig/test_pinhole_seed_cascade.py,implemented,no
NFR-PERF-002,NFR,PERF,Rig front-end Two-start seeding skips the second solve when the model-aware and from-K seeds are byte-identical (a provably lossless deterministic duplicate) instead of always re-solving both,ARC-RIG,ds_msp/rig/calibrate.py,tests/rig/test_front_end_perf.py,implemented,no
NFR-PERF-003,NFR,PERF,Rig front-end intrinsic pre-calibration and per-frame pose seeding run across cameras in parallel (ProcessPoolExecutor scaling with camera count) with bit-identical results to the serial path irrespective of camera model or distortion level,ARC-RIG,ds_msp/rig/calibrate.py,tests/rig/test_front_end_parallel.py,implemented,no
NFR-PERF-004,NFR,PERF,"save_reprojection_images / save_detection_images (MC-Calib-format debug overlay output) run across (camera, frame) tasks in parallel (ThreadPoolExecutor scaling with core count) with bit-identical results to the serial path -- previously fully serial and unparallelised, measured ~12.5s each for 255 images and running silently *after* the bundle adjustment already converged (7x speedup measured, 1.79s parallel vs 12.51s serial, on this repo's real MC-Calib dataset)",ARC-RIG,ds_msp/io/mccalib.py,tests/io/test_mccalib_save_images_parallel.py,implemented,no
NFR-DOCS-001,NFR,DOCS,"Publish a versioned MkDocs Material documentation site (Diataxis tutorial/how-to/reference/explanation sections) alongside the interactive studio, built and link-checked (mkdocs build --strict) in CI so a broken internal link or missing nav reference fails the build instead of silently 404ing on the live site",ARC-DOCS,mkdocs.yml;docs,tests/docs/test_docs_build.py,implemented,no
NFR-DOCS-002,NFR,DOCS,"Every code sample shown on a docs page is a real, independently-runnable file under docs_src/ included via mkdocs's {* docs_src/... *} macro (never hand-copied inline), with a mirrored pytest test asserting the exact values the page shows, and zero dependence on external datasets -- so a reader can trust that what's shown actually runs and is regression-tested",ARC-DOCS,docs_src;tests/docs_src,tools/check_docs_src_coverage.py,implemented,no
FR-RIG-011,FR,RIG,"The live web view renders every camera as a glowing sea-creature (procedural, shape keyed by camera model -- octopus/squid/jellyfish/hammerhead/starfish, no borrowed 3D assets) in a procedurally generated pond. An orb's LIVE RANK (not raw error alone) gates how close to the surface it may rise -- only the current top 3 by reprojection error can approach/breach the surface (with real ballistic preview leaps and splashes as the run progresses), 4th place and below are held near the floor regardless of their own error; at the finale the real best-converged camera (lowest final median error) does a real ballistic leap out of the water and settles above the surface (fireworks), while every other camera sinks to the floor. Ambient life: real Reynolds-boid schooling fish (3 shapes, 3 schools each following its own parametric formation curve) that scatter in real predator-avoidance flight when a roaming predator fish comes near, and re-form once it moves away",ARC-RIG,ds_msp/rig/web3d.py,tests/rig/test_web3d.py,implemented,no
FR-RIG-012,FR,RIG,"After the pond finale settles, the live web view transitions into a post-finale ""digital twin"" reveal: every camera creature swims to its ACTUAL solved T_c_g pose (reusing the same real pose data the live view already carries, not a second computation) and floats above the water, while the board plays back through every real captured frame's solved pose and 3D corner points (reusing report._frame_payload verbatim) start to end on a loop, colored by real per-point reprojection error",ARC-RIG,ds_msp/rig/web3d.py,tests/rig/test_web3d.py,implemented,no
FR-RIG-013,FR,RIG,"During the digital-twin reveal, all cameras and the board-replay points are parented under one rigid ""rig root"" group; a Blender/CAD-style 3-axis rotation gizmo (TransformControls, rotate mode) lets the user manually re-orient this whole rigid assembly (never touching the underlying T_c_g/T_g_o data) so it visually matches the real room's gravity-down/up orientation, since calibration only ever fixes one reference camera as the origin and has no notion of true up. Purely a live, ephemeral viewing aid -- not persisted",ARC-RIG,ds_msp/rig/web3d.py,tests/rig/test_web3d.py,implemented,no
FR-RIG-014,FR,RIG,"The live browser 3D view is an opt-in capability: `pip install ds-msp[webviewer]` documents/reserves it as an installable extra, and a calib_param.yml `webviewer: true/false` field (default true, matching prior always-on behavior) independently gates whether the run launches it, decoupled from `verbose` (terminal progress) so a headless/CI run can silence one without the other. `--no-webviewer` on the CLI mirrors the config field for the non-config scenario entry point",ARC-RIG,ds_msp/rig/calib_param.py,tests/rig/test_calib_param.py,implemented,no
FR-RIG-015,FR,RIG,"Every genuinely-boolean calib_param.yml field (fix_intrinsic, save_detection, save_reprojection, verbose, webviewer) accepts the intuitive true/false (also yes/no) form, not just the old, confusing 0/1 numeric convention -- while still accepting 0/1 for backward compatibility with existing config files. Handles a real cv2.FileStorage YAML-parser quirk: an inline `# comment` on the same line as an unquoted bareword value (true/false) is not stripped by the parser the way it is for a numeric 0/1 value, so the parser strips it explicitly. Fields that select between more than two named modes (distortion_model, distortion_per_camera, he_approach) are not booleans and are unchanged",ARC-RIG,ds_msp/rig/calib_param.py,tests/rig/test_calib_param.py,implemented,no
FR-RIG-016,FR,RIG,"`pip install ds-msp` alone (no repo clone) provides a real `ds-msp-calibrate-rig` console command with feature parity to the git-clone `python scripts/calibrate_rig.py` (which is now a thin wrapper around the same ds_msp.rig.cli:main), including `--init-config`/`--init-intrinsics` template generation -- the calib_param.yml/camera_intrinsics.yml templates ship as real package data (ds_msp/rig/configs/*.yml, resolved via importlib.resources so it works identically whether installed from a wheel, sdist, or editable checkout). tools/check_packaging.py verifies at the pyproject.toml level that the console-script entry point resolves to a real importable target inside a shipped subpackage and that every package-data glob matches real files, so this cannot silently rot",ARC-RIG,ds_msp/rig/cli.py,tests/rig/test_calib_param.py,implemented,no
FR-RIG-017,FR,RIG,"Calibrate a non-overlapping multi-camera rig -- cameras whose boards are never mutually co-observed in any single frame (MC-Calib's ``computeBoardsPairPose``/``init3DObjects`` covisibility-component topology 4-6). The board-fusion front stage keeps every covisibility component as its own ``Object3D`` instead of dropping all but the largest; camera-group hand-eye linking (``rig/handeye.py``) then fuses rigidly-linked objects that share no direct observation (MC-Calib's ``merge3DObjects``) into one rigid object, re-seeds per-frame poses, and re-derives camera groups so the joint BA can identify the inter-camera extrinsic -- iterated until one connected component remains. Validated on a real 2-camera/2-board non-overlapping rig (each camera sees a different, never-co-observed board): 1-camera silent-drop failure fixed to 2 cameras calibrated, 0.80/0.57px RMS, 1.19 m / 178.6 deg recovered extrinsic",ARC-RIG,ds_msp/rig/merge.py;ds_msp/rig/reconstruct.py;ds_msp/rig/calibrate.py;ds_msp/rig/calib_param.py;ds_msp/rig/pipeline.py,tests/rig/test_merge.py;tests/rig/test_rig_multiobject.py;tests/rig/test_reconstruct.py;tests/realdata/test_rig_seltos.py,implemented,yes
NFR-DOCS-003,NFR,DOCS,"Every top-level entry directly under docs/ (file or directory) is explicitly listed in a version-controlled positive allowlist (docs/process/governance/DOCS_TOP_LEVEL_MANIFEST.txt), checked in CI on every PR -- so a new file lands in the public tree only via a deliberate, reviewable one-line addition to the manifest, never silently. This is structurally exhaustive (absence from the list is itself the failure condition, regardless of content or naming) rather than a content pattern scan, and runs as a required CI job on a clean checkout, independent of any local machine's hook configuration",ARC-DOCS,tools/check_docs_zone.py;docs/process/governance/DOCS_TOP_LEVEL_MANIFEST.txt,tools/check_docs_zone.py,implemented,no
FR-RIG-018,FR,RIG,"A board observation that is a genuine blunder (e.g. a ChArUco board a different OpenCV build mis-decodes -- correct board, wrong corner ids -- resects to a plausible-but-wrong pose with a low per-board RMS, invisible until composed with the assembled rig) is handled two ways, both available: (1) by default, the robust joint BA (GNC-TLS/Cauchy) down-weights it in the *estimate* -- verified to give the same intrinsics and an extrinsic within 0.1deg/3.5mm as hard-dropping it -- while ``report.py``'s per-camera stats gain ``inlier_rms``/``n_gross`` and a printed note so a correct fit is not misread as a failure just because raw max/rms still counts the blunder, and ``web3d.py``'s live-view depth uses the median (capped) per-camera error so one blunder cannot sink an otherwise-correctly-calibrated camera out of view; (2) an explicit opt-in hard-drop gate, ``calibrate_rig(reproj_gate_px=...)``/``calibrate_scenario(reproj_gate_px=...)`` (MC-Calib's ``ransac_threshold`` semantics -- ``keep it high, remove only strong outliers``), rejects any observation whose reprojection through the assembled rig exceeds the gate and re-solves on the cleaned set; off by default, and NOT auto-wired from ``calibrate_from_config`` (the shipped ``ransac_threshold`` config field remains available for a caller to pass through explicitly, matching the down-weight-first philosophy). Validated on a real rig under a mis-decoding OpenCV build (4.10): max camera error 294.6px -> 2.61px, BA rms 30.6px -> 0.73px, extrinsic unchanged (1.193m / 178.6deg); on a clean build (cv2 5.x, verified again here on the same real Seltos rig) the gate drops 0 observations -- a genuine no-op on clean data",ARC-RIG,ds_msp/rig/calibrate.py;ds_msp/rig/calib_param.py;ds_msp/rig/pipeline.py;ds_msp/rig/report.py;ds_msp/rig/web3d.py,tests/rig/test_outlier_rejection.py;tests/rig/test_report.py;tests/rig/test_web3d.py,implemented,no
FR-RIG-019,FR,RIG,"``calib_param.yml``'s ``noise_bound`` field is fully configurable like every other config field: it honors ``--set``/overrides (previously the ONE config field that did not), and a value ``<= 0`` (physically meaningless as a pixel sigma) is the config-layer sentinel for ``None``, disabling GNC-TLS -- so a config file can express 'plain robust IRLS, no GNC-TLS' at all. Previously that was unreachable from any config-driven run: the default ``1.0`` could not be disabled, and ``bundle.refine`` routes to GNC-TLS (ignoring ``robust_kernel``/``gnc_*``) whenever ``noise_bound`` is not ``None``, so those parameters were dead from ``calibrate_from_config``. The pre-existing default (``1.0``, GNC-TLS active) is unchanged for every config that does not mention ``noise_bound``. Origin: the surviving fix from the rejected sparse-studentized-IRLS work (ADR-0014, Rejected -- the studentize capability itself was formally proven on real data to be a no-op-at-real-cost under this pipeline's robust-init regime, and removed).",ARC-RIG,ds_msp/rig/calib_param.py,tests/rig/test_calib_param.py,implemented,no
FR-RIG-020,FR,RIG,"An opt-in frame-clustered M-estimator sandwich covariance (``clustered_sandwich_covariance``) is available for rig parameter-uncertainty reporting (``bundle.parameter_covariance``, ``calib_param.yml``'s ``report_covariance: true/false``), fixing a measured 4-9x real-data under-coverage of the existing (unclustered) sandwich covariance: per-corner scores were treated as independent when corners from the same synchronized board placement (pooled across cameras) share correlated board-pose noise. Clustering the meat by frame id (bread unchanged; Liang-Zeger/Cameron-Miller clustered-sandwich form, small-cluster scalar correction c = [G/(G-1)]*[(N-1)/(N-K)], df = G-1) closes a synthetic known-correlation Monte-Carlo under-coverage of 6.2x (std) / 38x (variance) down to a 0.98x coverage ratio (0.98-1.10x under a contaminated/robust refit). Formally proven honest on real data by a 200-replicate cluster bootstrap (resample the 33 real Seltos board placements with replacement, refit, compare each estimator's single-fit predicted std to the bootstrap-measured empirical std): median coverage ratio naive 0.147 (~7x overconfident), unclustered sandwich 0.275 (~3.6x overconfident), frame-clustered 1.136 (honest, slightly conservative). The user-facing output therefore reports ONLY the frame-clustered estimator (per-camera ``extrinsic_std``/``intrinsic_std``, tangent layout rotation-first: ``[dw(3) rad, dt(3) scene units]``); the two proven-overconfident estimators remain in ``ds_msp/core/covariance.py`` as documented test baselines only, never shown where a smaller std could be mistaken for a better calibration.",ARC-RIG,ds_msp/core/covariance.py;ds_msp/rig/bundle.py;ds_msp/rig/pipeline.py;ds_msp/rig/calib_param.py,tests/core/test_clustered_covariance.py,implemented,no
FR-RIG-021,FR,RIG,"An observability audit of the rig calibration runs by DEFAULT (``audit_gate: warn``; ``off``/``refuse`` selectable from config or ``--set``) and turns near-null directions of the gauge-fixed weighted BA Hessian into NAMED, actionable findings. Math: van der Sluis diagonal equilibration (Numer. Math. 14, 1969) of ``H = J^T W J`` to unit diagonal -- REQUIRED because J's columns mix physical units (px/rad, px/length, px/px, px/1), making raw eigenvalues and eigenvector components unit artefacts; measured on a healthy 3-camera rig cond(H)=1.7e11 vs cond(H_hat)=2.1e6. Two-tier thresholds locked from MEASURED spectra (2026-07-18 characterization): structural degeneracies (gauge modes, planar focal<->xi coupling) sit at equilibrated-eigenvalue ratios <=1e-10 while the softest healthy directions sit >=1e-5, so critical=1e-6 / soft=1e-3 sit inside a measured ~6-order gap -- not hand-tuned. Findings name the known fisheye degeneracy signatures with capture advice (focal<->distortion planar coupling -> add tilt; outer-FOV params + empty periphery annulus -> capture near edges; weak frames; weak extrinsics; degenerate capture motion; global gauge = bug detector), corroborated by Hessian-free coverage stats (equal-area radial occupancy, board-normal orientation-tensor tilt diversity). Verified: silent (n_weak=0) on a well-conditioned 3D-target rig; EXACTLY 6 global-gauge findings when the reference camera is deliberately unfixed (positive control); no-tilt planar DS capture names fx,fy<->xi at ratio 1.8e-13; centered-board capture flags periphery with occupancy 0%; naming proven unit-invariant only under equilibration (m->mm test). ``refuse`` raises instead of returning a silently under-constrained calibration -- the failure class where the solver's Cholesky jitter rescues a near-singular system and returns a confident-looking answer. No calibration library ships a named, gated observability diagnostic (gap audit 2026-07-18; Calibration Wizard ICCV 2019 / AprilCal IROS 2013 are standalone guidance tools).",ARC-RIG,ds_msp/core/observability.py;ds_msp/rig/audit.py;ds_msp/rig/report.py;ds_msp/rig/pipeline.py;ds_msp/rig/calib_param.py,tests/core/test_observability.py;tests/rig/test_audit.py;tests/rig/test_calib_param.py,implemented,no
